Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	20	20	-0.152246	-0.544654	0.707004	0.941373	GNB4(1.41698); GNG13(0.913004); GNG2(0.379503); PLCB1(-0.233191); GNB2(-1.13887); GNG8(-1.17098); GNG3(-1.18207); PLCB3(-1.29236); GNB3(-1.30391); PLCB2(-1.37819); GNGT2(-1.38209); GNG10(-1.40217); GNB1(-1.40217); GNG5(-1.41135); GNG11(-1.42616); GNGT1(-1.43125); GNB5(-1.50738); GNG7(-1.56646); GNG4(-1.6123); GNG12(-1.88258); 
REACTOME_METAL_ION_SLC_TRANSPORTERS	22	21	1.02343	-0.536898	0.704331	0.941373	SLC30A8(2.70161); SLC41A1(1.54645); SLC30A1(0.875659); SLC39A5(-1.05664); SLC39A4(-1.19667); SLC39A1(-1.21163); SLC39A3(-1.3148); SLC11A1(-1.325); SLC30A3(-1.34313); SLC30A5(-1.3987); SLC30A2(-1.3987); SLC40A1(-1.40363); SLC39A10(-1.40893); SLC39A2(-1.41135); SLC30A7(-1.41493); SLC39A6(-1.48925); SLC31A1(-1.50738); CP(-1.57666); SLC41A2(-1.67883); SLC39A8(-1.76498); SLC39A7(-2.13106); 
REACTOME_PYRUVATE_METABOLISM	19	16	-0.72414	-0.553169	0.709926	0.941373	PDHX(1.40453); PDHB(0.90269); PDPR(-1.09373); BSG(-1.13887); SLC16A3(-1.17098); DLAT(-1.26745); SLC16A8(-1.29236); LDHB(-1.3148); SLC16A1(-1.33446); PDP2(-1.35796); PDK2(-1.39663); PDP1(-1.40054); LDHA(-1.40054); DLD(-1.42197); PDK4(-1.43992); PDK1(-1.57666); 
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	30	28	0.186597	-0.54302	0.706442	0.941373	RPS6KA5(2.02731); FOS(1.29267); RPS6KA2(1.00827); RPS6KA1(0.726121); MAPK10(0.0635777); MAPK3(-1.09373); MAPK11(-1.15185); MAPK7(-1.15185); JUN(-1.24043); DUSP7(-1.29236); PPP2R1B(-1.33446); DUSP3(-1.33446); PPP2CB(-1.3739); PPP2R5D(-1.38563); DUSP6(-1.39172); PPP2CA(-1.3987); DUSP4(-1.40363); ATF1(-1.40608); CREB1(-1.41056); MAPKAPK2(-1.44307); MAPK9(-1.51681); MAPK14(-1.52646); PPP2R1A(-1.55631); MAPK1(-1.57666); MEF2A(-1.59199); MAPK8(-1.60217); ATF2(-1.63224); MEF2C(-1.73611); 
REACTOME_DSCAM_INTERACTIONS	11	11	0.517558	-0.571237	0.716081	0.941373	NTN1(0.503028); DCC(0.18091); DSCAM(-0.111284); MAPK11(-1.15185); MAPK12(-1.25419); MAPK13(-1.33446); RAC1(-1.41393); MAPK14(-1.52646); MAPK8(-1.60217); PAK1(-1.6955); DSCAML1(-2.20792); 
REACTOME_INFLUENZA_LIFE_CYCLE	203	131	-2.71816	-0.539029	0.705067	0.941373	HSPA1B(3.03614); RPL7(2.7883); RPL8(2.17965); NUP54(1.94218); NUP133(1.53839); POLR2L(1.19844); CANX(1.17761); RPL31(1.13768); RAE1(1.07541); CALR(1.05361); RPS25(0.957973); RPL13(0.952803); RPS7(0.898706); RPS12(0.858426); NUP50(0.83472); RPL9(0.831964); HSP90AA1(0.73904); RPS9(0.726919); NUP210(0.45324); POM121(-0.178164); RPL29(-0.457193); FAM153A(-0.874211); RPLP0(-0.949317); RPS27(-1.00775); RPS26(-1.00775); RPL23A(-1.00775); POLR2J(-1.12031); POLR2F(-1.12031); RPS15(-1.12031); RPS17(-1.13887); RPS24(-1.13887); RPL22(-1.13887); POLR2G(-1.15185); RPS3A(-1.16173); RPL6(-1.16173); RPL24(-1.16173); RPLP2(-1.16173); RPL27(-1.17098); RPL36(-1.17098); RPS11(-1.18207); RPL19(-1.18207); POLR2I(-1.18207); RPLP1(-1.19667); RPL13A(-1.19667); RPL23(-1.19667); RPS10(-1.19667); RPS15A(-1.19667); RPS13(-1.21163); NUP43(-1.22623); RAN(-1.22623); RPL5(-1.22623); AAAS(-1.22623); RPS8(-1.22623); RPS19(-1.22623); UBA52(-1.22623); RPS2(-1.22623); RPL7A(-1.24043); RPL41(-1.24043); RPL28(-1.24043); RPL18(-1.24043); RPS5(-1.25419); RPL11(-1.25419); RPL14(-1.26745); RPS6(-1.26745); GTF2F1(-1.26745); POLR2H(-1.28019); RPS16(-1.28019); RPL3L(-1.29236); RPL35A(-1.30391); RPL38(-1.30391); FAU(-1.30391); KPNB1(-1.30391); NUP155(-1.30391); RPL4(-1.3148); RPL27A(-1.3148); POLR2D(-1.325); NUP85(-1.325); RPS29(-1.325); RPL18A(-1.325); RPS3(-1.34313); RPL15(-1.34313); RPL34(-1.35098); RPL37(-1.35098); RPS28(-1.35098); RPL35(-1.35796); RPS27A(-1.35796); RPL21(-1.35796); RPL26(-1.35796); NUP37(-1.36403); RPL30(-1.36403); RPL26L1(-1.36921); XPO1(-1.36921); RPL10A(-1.36921); NUPL1(-1.36921); RPS21(-1.3739); RPS20(-1.3739); RPS14(-1.37819); RANBP2(-1.37819); NUP62(-1.37819); POLR2E(-1.37819); RPS23(-1.38563); RPL17(-1.39172); RPSAP9(-1.39172); GRSF1(-1.39431); RPL32(-1.39431); CLTA(-1.39663); RPL37A(-1.3987); RPL12(-1.3987); POLR2K(-1.3987); POLR2C(-1.40054); IPO5(-1.40217); SEH1L(-1.40363); NUP107(-1.40492); RPSA(-1.40608); RPL3(-1.40711); POLR2A(-1.40711); NUP188(-1.40806); DNAJC3(-1.41493); NUP214(-1.42395); TPR(-1.434); KPNA1(-1.4369); NUP205(-1.45323); NUPL2(-1.46438); NUP153(-1.4683); CLTC(-1.47642); NUP88(-1.47642); NUP93(-1.57156); POLR2B(-1.58177); NUP35(-1.69944); GTF2F2(-1.77573); RPS18(-2.14604); 
KEGG_BETA_ALANINE_METABOLISM	22	21	-0.149203	-0.5903	0.722505	0.946203	EHHADH(1.63668); HIBCH(1.32666); ALDH2(1.11976); AOC3(-0.178164); AOC2(-0.178164); ECHS1(-1.26745); SRM(-1.26745); ALDH3A2(-1.39663); HADHA(-1.41056); UPB1(-1.41056); MLYCD(-1.41216); GAD1(-1.41727); ALDH1B1(-1.434); ACADM(-1.45323); ALDH7A1(-1.54124); CNDP1(-1.55126); ALDH9A1(-1.65627); GAD2(-1.69944); DPYS(-1.76857); ABAT(-1.97634); DPYD(-2.24002); 
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10	10	-0.202743	-0.594643	0.723959	0.946203	ADO(1.3396); CDO1(-1.22623); GGT1(-1.22623); GGT7(-1.24043); GGT5(-1.24043); CSAD(-1.29236); GGT6(-1.30391); GAD1(-1.41727); BAAT(-1.42395); GAD2(-1.69944); 
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	52	0.35742	-0.587858	0.721686	0.946203	MGAM(1.76144); GAA(1.63282); GBA3(1.53887); GCK(1.41081); GYS2(1.05159); G6PC(1.04137); G6PC2(1.0286); AMY2B(0.890337); GYS1(0.878719); UGDH(0.84301); UXS1(0.330127); GBE1(0.126034); AMY2A(-0.457193); AMY1C(-1.05664); AMY1B(-1.05664); AMY1A(-1.05664); PYGM(-1.15185); UGT2B28(-1.22623); GUSB(-1.26745); UGT2B11(-1.29236); UGT2B15(-1.38883); UGT2B17(-1.38883); HK3(-1.3987); GPI(-1.3987); UGP2(-1.40054); TREH(-1.40492); PYGB(-1.41135); UGT2B7(-1.41301); UGT2B4(-1.41727); PGM2L1(-1.48489); PGM2(-1.48489); PGM1(-1.50738); GANC(-1.51207); SI(-1.51681); PYGL(-1.55631); ENPP3(-1.59199); UGT2B10(-1.62233); AGL(-1.67883); HK2(-1.68313); UGT1A1(-1.68734); UGT2A3(-1.70329); ENPP1(-1.75418); UGT2A1(-1.77573); HK1(-1.88585); UGT1A3(-1.92084); UGT1A4(-1.95957); UGT1A5(-2.00504); UGT1A6(-2.11784); UGT1A7(-2.13389); UGT1A9(-2.14843); UGT1A10(-2.1739); UGT1A8(-2.18951); 
KEGG_O_GLYCAN_BIOSYNTHESIS	30	26	0.150485	-0.636841	0.737886	0.946203	GALNT10(1.31341); WBSCR17(1.03758); GALNT13(0.892825); ST3GAL1(0.659745); GALNT9(0.649146); GALNT2(0.162845); ST3GAL2(-1.16173); GCNT4(-1.25419); B3GNT6(-1.37819); GALNT11(-1.40054); GCNT3(-1.40711); GALNT3(-1.41301); GALNT6(-1.41301); ST6GALNAC1(-1.41393); GALNT4(-1.42395); GALNT12(-1.48062); GCNT1(-1.49818); GALNT5(-1.52161); B4GALT5(-1.54623); GALNT8(-1.56646); GALNT1(-1.57666); GALNT7(-1.60724); GALNTL5(-1.61733); C1GALT1(-1.65156); GALNT14(-2.12913); GALNTL6(-2.36074); 
KEGG_SPHINGOLIPID_METABOLISM	40	38	0.0540358	-0.59708	0.724773	0.946203	NEU1(2.9152); GLB1(1.3145); GBA(1.00947); B4GALT6(0.707293); CERK(0.583372); SGPL1(0.480603); SGMS1(0.21822); NEU4(-0.457193); ENPP7(-1.15185); SMPD4(-1.17098); SPHK2(-1.18207); GAL3ST1(-1.22623); SMPD2(-1.28019); ACER1(-1.30391); DEGS2(-1.3148); SGPP1(-1.325); SMPD1(-1.325); ARSA(-1.34313); SPHK1(-1.35098); PPAP2C(-1.36403); DEGS1(-1.38563); NEU2(-1.38883); NEU3(-1.40893); KDSR(-1.41135); UGT8(-1.41865); ASAH2(-1.434); UGCG(-1.4683); SGMS2(-1.47232); ACER2(-1.51681); PPAP2A(-1.59199); SPTLC1(-1.63714); SMPD3(-1.66091); PPAP2B(-1.69944); GALC(-1.71069); SPTLC2(-1.71432); ASAH1(-1.78288); SGPP2(-1.85932); ACER3(-1.86268); 
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	143	-0.0680708	-0.594169	0.7238	0.946203	CCND2(2.40194); IL20RA(2.03728); LEPR(1.73893); STAT5A(1.71981); IL2(1.66625); STAT3(1.59508); SPRED2(1.36544); LIF(1.32821); AKT2(1.19447); OSMR(1.1681); IL22RA2(1.13553); GH1(1.09908); CCND1(1.05514); PIK3R3(1.03799); PIK3CA(1.00295); IFNA6(0.995); IL5(0.985425); IFNGR1(0.964358); IFNAR1(0.956537); PIK3CD(0.922132); SOCS5(0.851194); SOCS2(0.791624); PRL(0.727229); TYK2(0.711712); AKT3(0.697771); IL26(0.667197); IL6(0.619197); LIFR(0.615066); CBLC(-1.00775); EPO(-1.05664); CTF1(-1.05664); SOCS3(-1.13887); IL23A(-1.17098); EPOR(-1.17098); STAT2(-1.18207); MPL(-1.18207); CLCF1(-1.19667); PIM1(-1.19667); PTPN6(-1.19667); PIAS3(-1.21163); AKT1(-1.22623); SPRY2(-1.22623); CSH1(-1.22623); STAT5B(-1.22623); PIK3R2(-1.22623); CISH(-1.24043); PIAS4(-1.24043); IL11(-1.25419); IL20(-1.28019); GH2(-1.28019); IFNA1(-1.28019); SOCS4(-1.30391); IL24(-1.325); IRF9(-1.325); OSM(-1.33446); SPRY1(-1.34313); STAT6(-1.35098); JAK3(-1.35796); IL11RA(-1.36921); IFNA17(-1.36921); IFNA16(-1.36921); IL13(-1.3739); CSF3(-1.3739); IFNA13(-1.3739); IFNE(-1.38209); MYC(-1.38563); IFNA14(-1.38563); IFNA10(-1.38883); IL3(-1.39431); IL12RB1(-1.39431); CSF2(-1.39663); IFNA2(-1.39663); PTPN11(-1.3987); SOCS7(-1.3987); IFNA7(-1.3987); IFNW1(-1.3987); CREBBP(-1.3987); IFNA8(-1.40054); IFNA5(-1.40217); SOCS1(-1.40217); TSLP(-1.40363); CNTF(-1.40363); IFNA21(-1.40608); IL4(-1.40806); IL6ST(-1.40806); IL6R(-1.40893); IL20RB(-1.40893); CBL(-1.40893); IL10(-1.41056); EP300(-1.41056); IFNGR2(-1.41216); PIK3CB(-1.41301); CSF3R(-1.41301); IFNA4(-1.41301); IFNB1(-1.41393); LEP(-1.41493); IL21(-1.41603); SPRY4(-1.41727); IL10RA(-1.41865); CNTFR(-1.41865); PIAS1(-1.42197); BCL2L1(-1.42197); IL9(-1.42616); IFNK(-1.42616); IFNG(-1.42863); IFNAR2(-1.42863); IL22RA1(-1.42863); IL12RB2(-1.43125); IL12B(-1.434); IL7(-1.44307); PIK3CG(-1.45684); STAM2(-1.46056); IL2RB(-1.46056); STAT1(-1.47232); IL10RB(-1.47232); GRB2(-1.48062); IL21R(-1.48489); IL12A(-1.48925); PIAS2(-1.49368); IL4R(-1.49368); IL19(-1.51207); IL7R(-1.52646); PIK3R5(-1.53627); IL23R(-1.54623); IL15RA(-1.55126); IL5RA(-1.55126); CCND3(-1.55631); CSF2RB(-1.56646); IL22(-1.57156); IL15(-1.58177); IL2RA(-1.60217); PIK3R1(-1.6468); JAK2(-1.66091); SOS2(-1.66549); SOS1(-1.69146); STAT4(-1.72886); STAM(-1.80414); JAK1(-1.84577); SPRED1(-1.92393); GHR(-1.95091); CBLB(-2.0455); TPO(-2.05879); PRLR(-2.10053); 
KEGG_PARKINSONS_DISEASE	133	108	-2.07646	-0.623491	0.733519	0.946203	NDUFS3(2.66339); UQCR10(2.31688); ATP5G1(2.31125); NDUFS4(2.05977); NDUFB9(1.84234); UBE2J1(1.78166); SLC6A3(1.43157); NDUFC1(1.16098); SNCA(1.15443); TH(0.91034); ATP5C1(0.823437); PARK2(0.757524); GPR37(0.681985); NDUFA9(0.650813); LRRK2(-0.0293379); NDUFB4(-0.457193); UQCR11(-1.00775); ATP5D(-1.00775); PPID(-1.05664); NDUFA4L2(-1.09373); UQCRH(-1.09373); COX6A2(-1.09373); COX7A1(-1.12031); UQCRC2(-1.12031); COX5A(-1.13887); HTRA2(-1.13887); UBA7(-1.13887); UBB(-1.13887); ATP5B(-1.15185); CYC1(-1.16173); COX5B(-1.16173); NDUFB2(-1.17098); NDUFS8(-1.17098); NDUFB3(-1.18207); SLC25A4(-1.18207); COX6A1(-1.18207); SDHD(-1.18207); COX8C(-1.18207); COX7C(-1.18207); UQCRC1(-1.18207); COX6B2(-1.19667); UBE2J2(-1.19667); NDUFB5(-1.21163); COX8A(-1.21163); VDAC3(-1.21163); NDUFB7(-1.21163); NDUFA6(-1.22623); NDUFB10(-1.24043); ATP5E(-1.25419); UQCRHL(-1.25419); VDAC2(-1.26745); NDUFV1(-1.26745); PARK7(-1.26745); NDUFA3(-1.28019); COX4I2(-1.29236); ATP5F1(-1.325); ATP5G3(-1.33446); COX6C(-1.33446); UBE2L6(-1.33446); NDUFS5(-1.33446); ATP5J(-1.33446); NDUFA2(-1.34313); SLC25A31(-1.34313); ATP5H(-1.35098); COX6B1(-1.35098); SEPT5(-1.35098); NDUFA7(-1.35098); NDUFS7(-1.35098); UQCRB(-1.35796); UQCRFS1(-1.36403); NDUFAB1(-1.36403); UCHL1(-1.3739); NDUFS1(-1.37819); ATP5A1(-1.37819); VDAC1(-1.38209); COX7A2(-1.38209); ATP5O(-1.38563); NDUFS2(-1.39431); UQCRQ(-1.39431); CASP3(-1.39663); NDUFB8(-1.3987); NDUFB6(-1.3987); CYCS(-1.3987); NDUFA5(-1.40217); NDUFV2(-1.40217); COX4I1(-1.40363); COX7A2L(-1.40363); UBE2L3(-1.40363); NDUFA4(-1.40363); NDUFC2(-1.40608); ATP5G2(-1.40976); NDUFV3(-1.41056); NDUFB1(-1.41135); PINK1(-1.41135); UBE2G1(-1.41135); NDUFA8(-1.41216); SDHA(-1.41301); APAF1(-1.43125); SDHB(-1.43992); SDHC(-1.48489); NDUFS6(-1.49818); CASP9(-1.51207); UBE2G2(-1.52161); SLC18A1(-1.52161); SLC18A2(-1.55126); NDUFA10(-1.67883); SNCAIP(-1.72886); COX7B2(-1.74696); 
BIOCARTA_MTA3_PATHWAY	19	19	-0.494567	-0.58914	0.722116	0.946203	GAPDH(1.62846); ESR1(0.540211); MTA1(-0.874211); HDAC1(-0.874211); TUBA1A(-1.12031); MBD3(-1.12031); HSPB2(-1.16173); ALDOA(-1.16173); PDZK1(-1.18207); TUBA1C(-1.21163); HSPB1(-1.28019); TUBA4A(-1.30391); SNAI1(-1.33446); CTSD(-1.34313); SNAI2(-1.35796); TUBA4B(-1.36403); TUBA3C(-1.48062); MTA3(-1.64199); CDH1(-1.6468); 
BIOCARTA_EXTRINSIC_PATHWAY	13	13	-0.421534	-0.605745	0.727658	0.946203	PROS1(1.43792); TFPI(0.634222); F3(-1.3148); F2(-1.325); FGA(-1.36921); F7(-1.36921); PROC(-1.37819); F10(-1.37819); FGB(-1.38209); SERPINC1(-1.38563); FGG(-1.38563); F2R(-1.50738); F5(-1.94208); 
BIOCARTA_MYOSIN_PATHWAY	31	29	0.566743	-0.605439	0.727556	0.946203	ARHGEF12(1.36956); MYL7(1.2873); PRKCB(1.18517); ARHGEF10(0.745876); MYLK(0.201013); GNAQ(0.186716); PLCB1(-0.233191); ARHGEF1(-1.21163); ARHGEF5(-1.22623); ARHGEF2(-1.28019); GNA13(-1.30391); ARHGEF16(-1.35098); PKN1(-1.35796); ARHGEF15(-1.38563); ARHGAP5(-1.38883); ROCK1(-1.39431); MYL2(-1.39663); ARHGEF17(-1.39663); ARHGEF19(-1.3987); GNB1(-1.40217); GNGT1(-1.43125); PPP1R12B(-1.60724); ARHGEF4(-1.60724); ARHGEF11(-1.61733); ARHGEF18(-1.62233); GNA12(-1.80766); ARHGEF7(-1.86603); ARHGEF3(-2.1734); PRKCA(-2.2394); 
PID_WNT_SIGNALING_PATHWAY	28	26	-0.541027	-0.645981	0.740854	0.946203	WNT1(1.23623); WIF1(0.832658); FZD10(0.765961); FZD6(0.587367); KREMEN1(0.435267); FZD9(-1.00775); FZD4(-1.24043); FZD5(-1.28019); DKK1(-1.28019); FZD8(-1.325); IGFBP4(-1.34313); KREMEN2(-1.34313); RSPO1(-1.35098); FZD1(-1.36921); FZD2(-1.38209); WNT5A(-1.40054); FZD7(-1.40363); WNT3A(-1.40806); WNT3(-1.42197); CTHRC1(-1.48062); WNT2(-1.48489); LRP5(-1.48925); WNT7A(-1.52646); RYK(-1.60217); LRP6(-1.73611); ROR2(-2.13842); 
PID_NFAT_3PATHWAY	54	53	0.0730553	-0.585351	0.720844	0.946203	PRKCB(1.18517); BAX(0.929493); MAP3K1(0.915015); CSNK1A1(0.863011); PPP3CA(0.741545); NFATC1(0.665586); PRKCQ(0.593446); RCAN2(0.502514); RCAN1(0.468985); GSK3B(0.303311); NFATC2(0.176713); BCL2(0.167984); KPNA2(-0.178164); MAPK3(-1.09373); SFN(-1.12031); FKBP8(-1.13887); PRKACA(-1.13887); BAD(-1.18207); PPP3CB(-1.19667); PIM1(-1.19667); RAN(-1.22623); AKAP5(-1.22623); PRKCG(-1.26745); KPNB1(-1.30391); XPO1(-1.36921); NR4A1(-1.36921); YWHAB(-1.38883); YWHAZ(-1.39431); PRKCD(-1.39431); CASP3(-1.39663); CREBBP(-1.3987); MEF2D(-1.40363); YWHAG(-1.40492); NFATC3(-1.40711); YWHAH(-1.40711); MAP3K8(-1.40893); EP300(-1.41056); BCL2L1(-1.42197); YWHAQ(-1.42197); NUP214(-1.42395); PPP3R1(-1.434); CSNK2A1(-1.43992); PRKCZ(-1.44307); YWHAE(-1.48925); MAPK9(-1.51681); MAPK14(-1.52646); CABIN1(-1.56137); FKBP1A(-1.58177); MAPK8(-1.60217); CAMK4(-2.15074); PRKCH(-2.1734); PRKCA(-2.2394); PRKCE(-2.30333); 
PID_UPA_UPAR_PATHWAY	42	42	0.0150142	-0.640783	0.739168	0.946203	BCAR1(3.28671); ITGA5(2.31241); KLK4(2.28504); PLAU(1.43219); ITGAV(0.791252); GPLD1(0.664383); PDGFD(0.145155); ELANE(-1.16173); VTN(-1.19667); NCL(-1.22623); TGFB1(-1.22623); CTRC(-1.30391); CTSG(-1.34313); MMP9(-1.35098); FGA(-1.36921); CRK(-1.36921); FGB(-1.38209); FGG(-1.38563); LRP1(-1.38883); SERPINE1(-1.39172); ITGAM(-1.40976); MMP13(-1.41056); FPR2(-1.41216); SRC(-1.41301); RAC1(-1.41393); PLAUR(-1.41493); MMP12(-1.41493); FPR1(-1.41727); ITGA3(-1.42395); MMP3(-1.44307); ITGB2(-1.44972); PLG(-1.52646); ITGB1(-1.56646); PDGFRB(-1.57666); VLDLR(-1.58177); HGF(-1.60217); ITGB3(-1.6123); FPR3(-1.65156); FN1(-1.77931); ITGB5(-1.89878); EGFR(-2.10053); DOCK1(-2.27896); 
PID_ALK1_PATHWAY	26	26	-0.472499	-0.614935	0.730701	0.946203	CSNK2B(2.35863); ACVR2A(1.11292); SMAD7(0.923316); TGFBR2(0.309813); MAPK3(-1.09373); PPP1CA(-1.17098); ID1(-1.18207); TLX2(-1.22623); TGFB1(-1.22623); ARRB2(-1.33446); SMAD4(-1.38209); INHBA(-1.39431); ENG(-1.39663); TGFB3(-1.39663); ACVRL1(-1.40054); GDF2(-1.40492); ACVR2B(-1.40893); BMPR2(-1.41216); SMAD1(-1.434); SMAD5(-1.44972); TGFBR1(-1.45323); ACVR1(-1.52161); CAV1(-1.54623); MAPK1(-1.57666); FKBP1A(-1.58177); SMAD9(-1.6955); 
REACTOME_METABOLISM_OF_NON_CODING_RNA	49	46	-1.57077	-0.600671	0.725971	0.946203	NUP54(1.94218); NUP133(1.53839); PHAX(1.11276); RAE1(1.07541); WDR77(0.904403); NUP50(0.83472); NUP210(0.45324); POM121(-0.178164); SNUPN(-1.12031); SNRPD1(-1.15185); SNRPD2(-1.17098); NUP43(-1.22623); AAAS(-1.22623); GEMIN6(-1.22623); GEMIN7(-1.26745); CLNS1A(-1.28019); SNRPG(-1.30391); NUP155(-1.30391); NUP85(-1.325); GEMIN4(-1.33446); SNRPD3(-1.35796); NUP37(-1.36403); PRMT5(-1.36403); NUPL1(-1.36921); GEMIN2(-1.3739); RANBP2(-1.37819); NCBP1(-1.37819); NUP62(-1.37819); NCBP2(-1.38209); SNRPE(-1.40217); DDX20(-1.40217); SNRPB(-1.40217); SEH1L(-1.40363); NUP107(-1.40492); NUP188(-1.40806); NUP214(-1.42395); TPR(-1.434); SNRPF(-1.434); GEMIN5(-1.4369); NUP205(-1.45323); NUPL2(-1.46438); NUP153(-1.4683); TGS1(-1.47642); NUP88(-1.47642); NUP93(-1.57156); NUP35(-1.69944); 
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	179	103	-2.55131	-0.591894	0.723039	0.946203	SSR1(3.28862); RPL7(2.7883); RPL8(2.17965); SSR3(1.40544); RPL31(1.13768); RPS25(0.957973); RPL13(0.952803); RPS7(0.898706); RPS12(0.858426); TRAM1(0.840462); RPL9(0.831964); SEC61A2(0.804033); SEC61G(0.772397); RPS9(0.726919); RPL29(-0.457193); FAM153A(-0.874211); RPLP0(-0.949317); RPS27(-1.00775); RPS26(-1.00775); RPL23A(-1.00775); RPS15(-1.12031); RPS17(-1.13887); RPS24(-1.13887); RPL22(-1.13887); RPS3A(-1.16173); RPL6(-1.16173); RPL24(-1.16173); SPCS1(-1.16173); RPLP2(-1.16173); SEC61B(-1.17098); RPL27(-1.17098); RPL36(-1.17098); RPS11(-1.18207); RPL19(-1.18207); RPLP1(-1.19667); RPL13A(-1.19667); RPL23(-1.19667); RPS10(-1.19667); RPS15A(-1.19667); SSR2(-1.21163); RPS13(-1.21163); RPL5(-1.22623); RPS8(-1.22623); RPS19(-1.22623); UBA52(-1.22623); RPS2(-1.22623); RPL7A(-1.24043); RPL41(-1.24043); RPL28(-1.24043); RPL18(-1.24043); RPS5(-1.25419); RPL11(-1.25419); RPL14(-1.26745); RPS6(-1.26745); RPS16(-1.28019); RPL3L(-1.29236); RPL35A(-1.30391); RPL38(-1.30391); FAU(-1.30391); RPL4(-1.3148); RPL27A(-1.3148); RPS29(-1.325); RPL18A(-1.325); RPS3(-1.34313); RPL15(-1.34313); RPL34(-1.35098); RPL37(-1.35098); RPS28(-1.35098); RPL35(-1.35796); RPS27A(-1.35796); RPL21(-1.35796); RPL26(-1.35796); RPL30(-1.36403); RPL26L1(-1.36921); RPN1(-1.36921); RPL10A(-1.36921); SRPR(-1.3739); SRP68(-1.3739); RPS21(-1.3739); RPS20(-1.3739); RPS14(-1.37819); SEC11A(-1.37819); RPS23(-1.38563); SPCS2(-1.38883); SRP14(-1.38883); RPL17(-1.39172); RPSAP9(-1.39172); RPL32(-1.39431); RPL37A(-1.3987); RPL12(-1.3987); SRP72(-1.40217); RPSA(-1.40608); RPL3(-1.40711); SEC61A1(-1.40806); DDOST(-1.40976); SRP9(-1.41603); SRP54(-1.43125); SRP19(-1.44307); SPCS3(-1.46056); SRPRB(-1.4683); RPN2(-1.53627); SEC11C(-1.56646); RPS18(-2.14604); 
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	17	16	0.323544	-0.624148	0.733735	0.946203	FIG4(1.09252); SACM1L(0.463856); PIK3C2G(0.271473); ARF1(-1.21163); PI4KB(-1.30391); ARF3(-1.30391); INPP5E(-1.36921); PI4K2A(-1.40217); PI4K2B(-1.40893); PIK3C2A(-1.41056); PIK3R4(-1.41603); PIKFYVE(-1.434); TPTE2(-1.48925); VAC14(-1.49818); PIK3C3(-1.49818); PI4KA(-1.69146); 
REACTOME_ENOS_ACTIVATION_AND_REGULATION	20	19	-0.967115	-0.616712	0.731288	0.946203	PTS(1.846); HSP90AA1(0.73904); NOSTRIN(0.405392); NOSIP(-1.16173); CALM3(-1.16173); GCHFR(-1.19667); AKT1(-1.22623); LYPLA1(-1.24043); SPR(-1.28019); NOS3(-1.34313); CALM1(-1.40711); CALM2(-1.41056); GCH1(-1.43125); DNM2(-1.4369); DHFR(-1.49368); WASL(-1.54623); CAV1(-1.54623); PRKG2(-1.59708); ZDHHC21(-1.93308); 
